TEXT_INTERVENTION_OBJECTIVE_STRUCTURE;Misión: construye la estructura especificada para recibir una recompensa.
TEXT_INTERVENTION_OBJECTIVE_TRAITOR;Misión: conquista el planeta especificado para capturar al traidor.
TEXT_INTERVENTION_OBJECTIVE_TRAP;Misión: conquista el planeta especificado para debilitar al enemigo.
TEXT_INTERVENTION_OBJECTIVE_UNITS;Misión: desarrolla las unidades especificadas para recibir una bonificación.
TEXT_INTERVENTION_OBJECTIVE_UPGRADE_STATION;Misión: mejora una de tus estaciones espaciales para que se te asignen más créditos.
TEXT_INTERVENTION_QUANTITY;Cantidad: %s
TEXT_INTERVENTION_REWARD;Recibirás: %s x %s
TEXT_INTERVENTION_STRUCTURE;Estructura: %s
TEXT_INTERVENTION_STRUCTURE_COMPLETE;Estructura: %s (completa)
TEXT_INTERVENTION_TASK_ACCUMULATE_CREDITS;Acumular créditos
TEXT_INTERVENTION_TASK_DEFENSE;Reforzar las defensas planetarias
TEXT_INTERVENTION_TASK_HUNT_CAPITAL_SHIPS;Desgaste
TEXT_INTERVENTION_TASK_INVESTIGATE;Reconocimiento
TEXT_INTERVENTION_TASK_PLANETARY_CONTROL;Controlar el planeta
TEXT_INTERVENTION_TASK_PRODUCTION;Producción
TEXT_INTERVENTION_TASK_SMUGGLING;Contrabando
TEXT_INTERVENTION_UNIT;Unidad: %s
TEXT_INTERVENTION_UNIT_COMPLETE;Unidad: %s (completa)
TEXT_INVADE_PLANET;¿Quieres invadir %s?
TEXT_INVADING_FORCES;Fuerzas invasoras
TEXT_IP;IP
TEXT_IP_DIRECT_CONNECT;Conexión directa a través de Internet
TEXT_ITALY;Italia
TEXT_JAPAN;Japón
TEXT_JOINGING_A_CLAN_GAME_AND_NOT_A_CLAN_MEMBER;Para unirte a esta partida, debes ser miembro de por lo menos un clan.
TEXT_KESSEL_PIRACY_OBJECTIVE_00;Asegurar los satélites de comunicación enemigos.
TEXT_KESSEL_PIRACY_OBJECTIVE_01;IG-88 debe sobrevivir.
TEXT_KESSEL_PIRACY_OBJECTIVE_02;Destruir todas las defensas enemigas.
TEXT_KEY_ADD;Sumar
TEXT_KEY_ALT;Alt
TEXT_KEY_ALT_MODIFIER;Alt + 
TEXT_KEY_BACKSPACE;Retroceso
TEXT_KEY_CAPITAL;Bloq Mayús
TEXT_KEY_CAPS_LOCK;Bloq Mayús
TEXT_KEY_CONTROL;Ctrl
TEXT_KEY_CTRL_MODIFIER;Ctrl + 
TEXT_KEY_DECIMAL;Decimal
TEXT_KEY_DELETE;Eliminar
TEXT_KEY_DIVIDE;Dividir
TEXT_KEY_DOWN_ARROW;Abajo
TEXT_KEY_END;Fin
TEXT_KEY_ENTER;Intro
TEXT_KEY_ESCAPE;Esc
TEXT_KEY_F1;F1
TEXT_KEY_F10;F10
TEXT_KEY_F11;F11
TEXT_KEY_F12;F12
TEXT_KEY_F13;F13
TEXT_KEY_F14;F14
TEXT_KEY_F15;F15
TEXT_KEY_F16;F16
TEXT_KEY_F17;F17
TEXT_KEY_F18;F18
TEXT_KEY_F19;F19
TEXT_KEY_F2;F2
TEXT_KEY_F20;F20
TEXT_KEY_F21;F21
TEXT_KEY_F22;F22
TEXT_KEY_F23;F23
TEXT_KEY_F24;F24
TEXT_KEY_F3;F3
TEXT_KEY_F4;F4
TEXT_KEY_F5;F5
TEXT_KEY_F6;F6
TEXT_KEY_F7;F7
TEXT_KEY_F8;F8
TEXT_KEY_F9;F9
TEXT_KEY_HOME;Inicio
TEXT_KEY_INSERT;Insertar
TEXT_KEY_LEFT_ARROW;Izquierda
TEXT_KEY_MULTIPLY;Multiplicar
TEXT_KEY_NUM_LOCK;Bloq Num
TEXT_KEY_NUMLOCK;Bloq Num
TEXT_KEY_NUMPAD_0;0 del tec. num.
TEXT_KEY_NUMPAD_1;1 del tec. num.
TEXT_KEY_NUMPAD_2;2 del tec. num.
TEXT_KEY_NUMPAD_3;3 del tec. num.
TEXT_KEY_NUMPAD_4;4 del tec. num.
TEXT_KEY_NUMPAD_5;5 del tec. num.
TEXT_KEY_NUMPAD_6;6 del tec. num.
TEXT_KEY_NUMPAD_7;7 del tec. num.
TEXT_KEY_NUMPAD_8;8 del tec. num.
TEXT_KEY_NUMPAD_9;9 del tec. num.
TEXT_KEY_PAGE_DOWN;Av Pág
TEXT_KEY_PAGE_UP;Re Pág
TEXT_KEY_RIGHT_ARROW;Derecha
TEXT_KEY_SCROLL;Bloq Despl
TEXT_KEY_SEPERATOR;Separar
TEXT_KEY_SHIFT;Mayús
TEXT_KEY_SHIFT_MODIFIER;Mayús + 
TEXT_KEY_SPACE;Esp.
TEXT_KEY_SUBTRACT;Restar
TEXT_KEY_TAB;Tab
TEXT_KEY_UNDEFINED;¡Sin configurar!
TEXT_KEY_UP_ARROW;Arriba
TEXT_KEYBIND_WARNING_0;##0 ya tiene asignado el comando ##1.
TEXT_KEYBIND_WARNING_1;¿Quieres reasignar el comando ##2 a ##0?
TEXT_KEYBOARD_OPTIONS;Teclado
TEXT_KEYBOARD_OPTIONS_1;Controles
TEXT_KEYBOARD_OPTIONS_2;Aptitudes
TEXT_KEYBOARD_OPTIONS_3;Aptitudes
TEXT_KEYBOARD_OPTIONS_4;Interfaz
TEXT_KEYBOARD_OPTIONS_5;Héroe
TEXT_KEYBOARD_OPTIONS_DIALOG_1;Unidades
TEXT_KEYBOARD_OPTIONS_DIALOG_2;Tierra
TEXT_KEYBOARD_OPTIONS_DIALOG_3;Espacio
TEXT_KEYBOARD_OPTIONS_DIALOG_4;Interfaz
TEXT_KEYBOARD_OPTIONS_DIALOG_5;Héroe
TEXT_KICK;Expulsar
TEXT_KILL_EFFICIENCY;Eficacia ejecutora:
TEXT_KUAT_KIDNAPPING_OBJECTIVE_00;Captura a Bevel Lemelisk con vida.
TEXT_KUAT_KIDNAPPING_OBJECTIVE_01;Bossk debe sobrevivir.
TEXT_KUAT_KIDNAPPING_OBJECTIVE_02;Inhabilitar o destruir el escudo que protege al complejo.
TEXT_LAN_COLOR;Color:
TEXT_LAN_GAME_INFO;Información de la partida:
TEXT_LAN_GAMES;Partidas:
TEXT_LAN_HOST_GAME_SETTINGS;Configuración de la partida
TEXT_LAN_HOST_GAME_TITLE;Red de área local: organizar partida
TEXT_LAN_HOST_JOINED_LOBBY; ha entrado en el punto de encuentro.
TEXT_LAN_HOST_MIN_PLAYERS;Para empezar la partida, tiene que haber 2 jugadores como mínimo.
TEXT_LAN_HOST_MISMATCHED_FACTIONS;Todos los jugadores de cada equipo deben pertenecer a la misma facción.
TEXT_LAN_HOST_MISMATCHED_TEAMS;Como mínimo, tiene que haber un jugador en cada bando.
TEXT_LAN_HOST_NOT_ENOUGH_TEAMS;Debe haber al menos dos equipos para jugar.
TEXT_LAN_HOST_PLAYERS;Jugadores:
TEXT_LAN_JOIN_GAME_SETTINGS;Ajustes de la partida:
TEXT_LAN_JOIN_GAME_TITLE;Red de área local: unirse a partida
TEXT_LAN_JOIN_PLAYERS;Jugadores:
TEXT_LAN_LOBBY_PLAYER_JOINED; ha entrado en el punto de encuentro.
TEXT_LAN_LOBBY_PLAYER_LEFT; ha salido del punto de encuentro.
TEXT_LAN_LOBBY_SELECT_GAME_FIRST;Tienes que seleccionar la partida a la que quieras unirte.
TEXT_LAN_LOBBY_TITLE;Punto de encuentro de la LAN
TEXT_LAN_NAME;Nombre:
TEXT_LAN_PLAYERS;Jugadores:
TEXT_LAND_FLEETS;Flota terrestre
TEXT_LAND_UNITS;Fuerzas terrestres
TEXT_LANG_CHINESE;Chino
TEXT_LANG_ENGLISH;Inglés
TEXT_LANG_ENGLISH_US;Inglés EE. UU.
TEXT_LANG_FRENCH;Francés
TEXT_LANG_ITALIAN;Italiano
TEXT_LANG_JAPANESE;Japonés
TEXT_LANG_KOREAN;Coreano
TEXT_LANG_POLISH;Polaco
TEXT_LANG_RUSSIAN;Ruso
TEXT_LANG_SPANISH;Español
TEXT_LANGUAGE_OPTIONS;Opciones de idioma
TEXT_LICENSE_AGREE_TITLE;Acuerdo de licencia
TEXT_LISTENING_TO_PLAYER;Escuchando al jugador:
TEXT_LOAD_AUTOSAVE;Cargar guardado automático
TEXT_LOAD_GAME_TITLE;Cargar
TEXT_LOAD_MAP_TITLE;Cargar mapa del juego
TEXT_LOBBY_LIST_GAME_TYPE_CAMPAIGN;Campaña
TEXT_LOBBY_LIST_GAME_TYPE_LAND;Tierra
TEXT_LOBBY_LIST_GAME_TYPE_SPACE;Espacio
TEXT_LOG_CYCLE;Ciclo ##0:
TEXT_LOG_CYCLE_01;Día ##0
TEXT_LOGIN_ERROR;No se ha podido iniciar sesión en Empire at War Online
TEXT_LOGIN_ERROR_PEER_IN_USE;Este nombre de usuario ya ha iniciado sesión.
TEXT_LOGIN_ERROR_PEER_INVALID;Este nombre de usuario no es válido.
TEXT_LOGIN_ERROR_PEER_INVALID_UNIQUENICK;El nuevo nombre de usuario no es único.
TEXT_LOGIN_ERROR_PEER_NO_UNIQUENICK;Este nombre de usuario no existe.
TEXT_LOGIN_ERROR_PEER_UNIQUENICK_EXPIRED;Este nombre de usuario ha caducado.
TEXT_LOGIN_NAME;Apodo
TEXT_LOGIN_PASSWORD;Contraseña
TEXT_LOSE_CORRUPTION_MISSION;¡HEMOS SIDO DERROTADOS!
TEXT_LOSE_TACTICAL;¡NOS HAN DERROTADO!
TEXT_LOSS_VALUE;Pérdida de valor:
TEXT_LOST_BATTLE;¡Has perdido la batalla!
TEXT_LOW;Bajo
TEXT_MAIN_MENU;Menú principal
TEXT_MAIN_MENU_TITLE_1;Star Wars 
TEXT_MAIN_MENU_TITLE_2;El Imperio en guerra
TEXT_MAIN_OPTIONS;Opciones
TEXT_MAL_SWAP_DESCRIPTION;Cambia entre misiles de contusión y misiles de carbonita; los misiles de carbonita ralentizan y dañan a los objetivos.
TEXT_MANDALORE_PIRACY_OBJECTIVE_00;Defeat the Mandalorian Clan Leader in his Keldalbe warship.
TEXT_MANDALORE_PIRACY_OBJECTIVE_01;Tyber Zann must survive.
TEXT_MANDALORE_STORY_PIRACY_OBJECTIVE_00;Lure the Mandalorian Clan Leader out of hiding by attacking the Space Station.
TEXT_MANDALORE_STORY_PIRACY_OBJECTIVE_01;Tyber Zann’s Interceptor Frigate must survive.
TEXT_MANDALORE_STORY_PIRACY_OBJECTIVE_02;Derrotar al líder del clan de Mandalore.
TEXT_MAP_NAME_MP_LAND_00;Alderaan en guerra
TEXT_MAP_NAME_MP_LAND_01;Bonanza bothan
TEXT_MAP_NAME_MP_LAND_02;Caos costero
TEXT_MAP_NAME_MP_LAND_03;Fuegos de Shola
TEXT_MAP_NAME_MP_LAND_04;Vientos de Polus
TEXT_MAP_NAME_MP_LAND_05;Batalla en Tatooine
TEXT_MAP_NAME_MP_LAND_06;Ataque en Dagobah
TEXT_MAP_NAME_MP_LAND_07;Incursión en Naboo
TEXT_MAP_NAME_MP_LAND_08;Campamento de entrenamiento en Yavin
TEXT_MAP_NAME_MP_LAND_09;Asalto sobre Hoth
TEXT_MAP_NAME_MP_LAND_10;El expreso de Endor
TEXT_MAP_NAME_MP_LAND_11;La carrera de Kessel I
TEXT_MAP_NAME_MP_LAND_12;Sublevación en Dantooine
TEXT_MAP_NAME_MP_LAND_13;Abandonados en Geonosis
TEXT_MAP_NAME_MP_LAND_14;Asalto sobre Hoth
TEXT_MAP_NAME_MP_LAND_15;Ataque a Kessel
TEXT_MAP_NAME_MP_LAND_16;Batalla en Tatooine
TEXT_MAP_NAME_MP_LAND_17;Prueba en terreno despejado
TEXT_MAP_NAME_MP_LAND_18;Asalto en Dantooine
TEXT_MAP_NAME_MP_LAND_19;Los fuegos de Shola
TEXT_MAP_NAME_MP_LAND_20;Guarnición de Ryloth
TEXT_MAP_NAME_MP_LAND_21;Cuenta atrás en Corellia
TEXT_MAP_NAME_MP_LAND_23;Cruzada en Kashyyyk
TEXT_MAP_NAME_MP_LAND_24;Locura en Fondor
TEXT_MAP_NAME_MP_LAND_25;Asalto de Taris
TEXT_MAP_NAME_MP_LAND_26;Pelea en Bespin
TEXT_MAP_NAME_MP_LAND_27;Corrupción de Honoghr
TEXT_MAP_NAME_MP_LAND_27a;YO, HONOGHR
TEXT_MAP_NAME_MP_LAND_28;Jardines de Felucia
TEXT_MAP_NAME_MP_LAND_29;Ataque y retirada en Hypori
TEXT_MAP_NAME_MP_LAND_30;Kamino
TEXT_MAP_NAME_MP_LAND_30a;Clonadores de Kamino
TEXT_MAP_NAME_MP_LAND_31;Myrkr
TEXT_MAP_NAME_MP_LAND_32;Saleucami
TEXT_MAP_NAME_MP_LAND_33;Utapau
TEXT_MAP_NAME_MP_LAND_34;Locura mandaloriana
TEXT_MAP_NAME_MP_LAND_35;Hostilidad en Dathomir
TEXT_MAP_NAME_MP_LAND_36;[TBL]
TEXT_MAP_NAME_MP_LAND_37;[TBL]
TEXT_MAP_NAME_MP_LAND_CONTROL_00;Bonanza bothan
TEXT_MAP_NAME_MP_LAND_CONTROL_01;Batalla en Tatooine
TEXT_MAP_NAME_MP_LAND_CONTROL_02;Ataque en Dagobah
TEXT_MAP_NAME_MP_LAND_CONTROL_03;Incursión en Naboo
TEXT_MAP_NAME_MP_LAND_CONTROL_04;Campamento de entrenamiento en Yavin
TEXT_MAP_NAME_MP_LAND_CONTROL_05;Asalto sobre Hoth
TEXT_MAP_NAME_MP_LAND_CONTROL_06;El expreso de Endor
TEXT_MAP_NAME_MP_LAND_CONTROL_07;La carrera de Kessel I
TEXT_MAP_NAME_MP_LAND_CONTROL_08;Sublevación en Dantooine
TEXT_MAP_NAME_MP_LAND_CONTROL_09;Abandonados en Geonosis
TEXT_MAP_NAME_MP_SPACE_00;Batalla en Geonosis
TEXT_MAP_NAME_MP_SPACE_01;Endor en llamas
TEXT_MAP_NAME_MP_SPACE_02;La carrera de Kessel II
TEXT_MAP_NAME_MP_SPACE_03;Frenesí bothan
TEXT_MAP_NAME_MP_SPACE_04;Dagobah atacado
TEXT_MAP_NAME_MP_SPACE_05;Bloqueo en Naboo
TEXT_MAP_NAME_MP_SPACE_06;Crisis en Tatooine
TEXT_MAP_NAME_MP_SPACE_07;La defensa de Alderaan
TEXT_MAP_NAME_MP_SPACE_08;El sitio de Coruscant
TEXT_MAP_NAME_MP_SPACE_09;Resistencia en Shola
TEXT_MAP_NAME_MP_SPACE_10;Conflicto en Hoth
TEXT_MAP_NAME_MP_SPACE_11;La pérdida de Yavin
TEXT_MAP_NAME_MP_SPACE_12;Batalla en Geonosis
TEXT_MAP_NAME_MP_SPACE_13;Dagobah
TEXT_MAP_NAME_MP_SPACE_14;Conflicto en Hoth
TEXT_MAP_NAME_MP_SPACE_15;Carrera por Ryloth
TEXT_MAP_NAME_MP_SPACE_16;Astilleros de Kuat
TEXT_MAP_NAME_MP_SPACE_17;Amenaza sobre Polus
TEXT_MAP_NAME_MP_SPACE_20;Caos sobre Kashyyyk
TEXT_MAP_NAME_MP_SPACE_21;Paliza en Bespin
TEXT_MAP_NAME_MP_SPACE_22;Dathomir
TEXT_MAP_NAME_MP_SPACE_23;Punto alto en Felucia
TEXT_MAP_NAME_MP_SPACE_24;Calor de Hypori
TEXT_MAP_NAME_MP_SPACE_25;Tormenta de Kamino
TEXT_MAP_NAME_MP_SPACE_26;La instalación Boca
TEXT_MAP_NAME_MP_SPACE_27;Saleucami
TEXT_MAP_NAME_MP_SPACE_28;Insurgencia Utapau
TEXT_MAP_NAME_MP_SPACE_29;Bloqueo sobre Myrkr
TEXT_MAP_NAME_MP_SPACE_30;[TBL]
TEXT_MAP_NAME_MP_SPACE_31;[TBL]
TEXT_MAP_NAME_MP_SPACE_32;[TBL]
TEXT_MAP_NOT_AVAILABLE_TO_PLAY;No tienes el mapa actual instalado.
TEXT_MAP_NOT_FOUND;No se encuentra
TEXT_MAP_PREVIEW;Previsualizar mapa:
TEXT_MASTER_VOLUME;Volumen principal
TEXT_MAX;Máx.
TEXT_MAX_GAME_TIMER_VALUE;Sin límite
TEXT_MAX_PING_FILTER;Ping
TEXT_MAX_PLAYERS_FILTER;Máximo de jugadores
TEXT_MEDIUM_AI_PLAYER;IA normal
TEXT_MESH_DETAIL;Det. geometría 
TEXT_MILITARY_EFFICIENCY;Eficacia militar:
TEXT_MIN_PLAYERS_FILTER;Mínimo de jugadores
TEXT_MINERAL_EXTRACTOR;Extractor de minerales
TEXT_MINING_FACILITY_INCOME;Exp. mineras
TEXT_MISSION_FAILED;¡MISIÓN FALLADA!
TEXT_MISSION_HOLOCRON;Holocrón de la misión
TEXT_MON_EVENT_CONFRONT_01;Hemos recibido información de fuentes fiables. Nuestros espías nos han avisado de la presencia del cazarrecompensas Boba Fett en la órbita de un planeta cercano controlado por el Imperio. Es el responsable de la muerte y la tortura de muchos aliados. Necesitamos que encabeces una flota para eliminar a esta amenaza.
TEXT_MON_EVENT_CONFRONT_02;Has hecho un gran servicio a la Alianza. No obstante, nos hemos enterado de que Boba Fett ha conseguido huir. Está escondido, pero es posible que vuelva.
TEXT_MON_EVENT_CONFRONT_TITLE;Enfrentarse a Boba Fett
TEXT_MON_EVENT_CONQUER_00;Si no ganamos más terreno, será el fin de nuestra causa. Despliega algunas tropas y ayuda a liberar otro planeta para que se una a la Alianza.
TEXT_MON_EVENT_CONQUER_01;Tus acciones no han pasado desapercibidas. Diariamente se nos acercan voluntarios que piden ser asignados a ti.
TEXT_MON_EVENT_CONTRIVED_ATTACK_00;Tenemos que hablar de algunos acontecimientos preocupantes. Nos han informado de la movilización de las flotas imperiales, y hay indicios de que preparan un ataque a gran escala en breve. Nuestros espías han revelado el posible objetivo y te confío la defensa del sistema asediado.
TEXT_MON_EVENT_CONTRIVED_ATTACK_01;El Imperio se ha puesto en marcha y sus naves saldrán del hiperespacio en breve. Creen que cuentan con el factor sorpresa, aunque esperamos que tus preparativos basten para que sean ellos los sorprendidos.
TEXT_MON_EVENT_CONTRIVED_ATTACK_02;¡Una victoria heroica! El Imperio se lo pensará dos veces antes de intentar sorprendernos otra vez.
TEXT_MON_EVENT_CONTRIVED_ATTACK_03;Es evidente que nuestras fuentes subestimaron la escala del ataque. Tenemos que replegarnos y seguir luchando. No podemos permitir que se mantenga el bloqueo imperial.
TEXT_MON_EVENT_CREDIT_WINDFALL_00;Gracias. Nos hemos encontrado con un excedente de créditos y me parece lógico que decidas la forma de gastarlo.
TEXT_MON_EVENT_CREDITS_00;Nuestros expertos financieros predicen que se avecina una escasez de créditos. Tenemos que controlar nuestros gastos para superar la crisis.
TEXT_MON_EVENT_CREDITS_01;Te agradezco la ayuda. Mientras estabas fuera, nuestros científicos han desarrollado una nueva tecnología que puede interesarte.
TEXT_MON_EVENT_ENLIGHTENMENT_01;Los espías piratas nos informan de que el Imperio ha dejado indefenso uno de sus sistemas. Es una oportunidad excelente para liberar a civiles inocentes de la opresión del ejército imperial. Ten en cuenta que esta información procede de fuentes dudosas.
TEXT_MON_EVENT_ENLIGHTENMENT_02;El servicio de inteligencia pirata ha resultado muy beneficioso para nuestra causa. Ten en cuenta que los piratas no son de fiar y que habrá que tener cuidado con sus informes futuros.
TEXT_MON_EVENT_ENLIGHTENMENT_03;Hemos descubierto que la información proporcionada por los piratas era falsa. Además, nos han traicionado y planean atacarnos. Moviliza tus fuerzas y defiéndenos de esta traición.
TEXT_MON_EVENT_ENLIGHTENMENT_04;Estuviste hábil al descubrir la trampa tendida por los piratas. Que te sirva para aprender que no hay que fiarse. 
TEXT_MON_EVENT_ENLIGHTENMENT_05;Has demostrado que puedes dominar cualquier situación, comandante. Recibirás créditos como gratificación por tu comportamiento bajo presión.
TEXT_MON_EVENT_ENLIGHTENMENT_06;No todas las batallas acaban en victoria. Aprende de tus errores.
TEXT_MON_EVENT_ENLIGHTENMENT_TITLE;Conocimiento pirata
TEXT_MON_EVENT_FLEET_01;Hace poco han tendido una emboscada a una flota de la Alianza y la han capturado. Acabamos de averiguar que retienen la flota en un lugar secreto de un planeta controlado por el Imperio. Necesitamos que conquistes el planeta para la Alianza. Además de liberar un mundo de las garras del Imperio, incorporarás nuevos miembros a nuestra causa.
TEXT_MON_EVENT_FLEET_02;Tus acciones no han pasado desapercibidas. Diariamente se nos acercan voluntarios que piden ser asignados a ti.
TEXT_MON_EVENT_FLEET_RAMPAGE_00;Es la última vez que el Imperio reprime a la Rebelión. Tienes que pagar por los daños y la destrucción que has causado por toda la galaxia. Me ocuparé de que pagues lo que debes a la Rebelión.
TEXT_MON_EVENT_FLEET_RAMPAGE_01;La Rebelión jamás caerá ante el Imperio. Has destruido el Hogar Uno, pero lo reconstruiremos. Volveremos cuando llegue el momento. Acabarás pagando los crímenes que has cometido contra los inocentes.
TEXT_MON_EVENT_FLEET_RAMPAGE_02;Hoy han muerto muchos valientes. Son héroes y serán recordados. Nuestra flota sigue intacta y seguirá luchando contra el malvado Imperio.
TEXT_MON_EVENT_FLEET_RAMPAGE_03;Necesitamos tu ayuda, comandante. Una flota imperial está causando estragos en los sistemas aliados. Tenemos que replegarnos y neutralizar esta amenaza antes de que mueran más inocentes.
TEXT_MON_EVENT_FLEET_TITLE;Rescate de la flota
TEXT_MON_EVENT_HERO_GATHERING_00;Hemos recibido muchos informes de nuestros espías acerca del Imperio. Por lo visto, muchas de las personalidades más influyentes del Imperio se han reunido en un planeta. Es nuestra oportunidad. Lidera una flota y elimina a los líderes del Imperio.
TEXT_MON_EVENT_HERO_GATHERING_01;Se nos ha escapado una gran oportunidad. Me he enterado de que los líderes del Imperio se han separado.
TEXT_MON_EVENT_HERO_GATHERING_02;¡Muy bien, comandante! Nuestros objetivos han conseguido eludir la muerte, pero no podrán comandar sus ejércitos mientras se recuperan del ataque.
TEXT_MON_EVENT_HUNT_CAPITAL_SHIPS_00;Nos informan de la presencia de varias naves de línea imperiales en la órbita de un planeta controlado por el Imperio. No podemos permitir que el Imperio movilice flotas numerosas así como así. Necesito que te enfrentes a esta flota y destruyas tres de estas naves como mínimo.
TEXT_MON_EVENT_HUNT_CAPITAL_SHIPS_01;La Alianza está en deuda contigo, comandante. Hoy has propinado un duro golpe al ejército imperial.
TEXT_MON_EVENT_INDIGENOUS_REVOLT_00;Nos han informado de que los habitantes de uno de los sistemas del Imperio se han rebelado contra los opresores imperiales. No durarán demasiado contra los métodos implacables del Imperio. Date prisa, comandante, ya que el tiempo es oro.
TEXT_MON_EVENT_INDIGENOUS_REVOLT_01;Hemos recibido una llamada de auxilio de un planeta que se ha rebelado contra el Imperio. Cada instante que tardamos en ayudarles, mueren más inocentes, y si no respondemos aniquilarán a toda la población. Apresúrate, comandante.
TEXT_MON_EVENT_INDIGENOUS_REVOLT_02;Es un día triste, comandante. Nos hemos enterado de que el Imperio ha sofocado la revuelta. Han sufrido demasiadas pérdidas como para seguir luchando. Es una lástima que no hayamos podido ayudarles cuando más lo necesitaban.
TEXT_MON_EVENT_INDIGENOUS_REVOLT_03;El líder de la revuelta se ha puesto en contacto con nosotros. Toda la población del planeta se siente en deuda. Si el Imperio vuelve a atacar su planeta, se alzarán para ayudarnos.
TEXT_MON_EVENT_INDIGENOUS_REVOLT_TITLE;Revuelta indígena
TEXT_MON_EVENT_OPPRESSION_01;Hemos recibido una llamada de auxilio que no podemos pasar por alto. El Imperio ha conquistado otro planeta y su pueblo sufre. Si les ayudamos, nos han prometido los servicios de un contrabandista y de un cazarrecompensas de la zona.
TEXT_MON_EVENT_OPPRESSION_02;Tus acciones demuestran que eres leal a la Alianza y a la galaxia. Aquí hay mucha gente que quiere servir bajo tu mando. Hemos reasignado a un contrabandista y a un cazarrecompensas para que estén a tus órdenes.
TEXT_MON_EVENT_OPPRESSION_TITLE;Opresión imperial
TEXT_MON_EVENT_PLANET_OWNERSHIP_FLIP_00;Uno de nuestros planetas aliados nos ha traicionado. Nos hemos enterado de que los líderes del sistema llevan bastante tiempo colaborando con el Imperio. El sistema es una gran pérdida para la Alianza.
TEXT_MON_EVENT_PLANET_WINDFALL_00;Nuestras influencias han llegado hasta uno de los planetas del Imperio. Han decidido rebelarse y unirse a nuestra causa.
TEXT_MON_EVENT_REFUGEE_01;El Imperio ha descubierto a una banda de partidarios clandestinos de la Alianza. Los están persiguiendo, y necesitan que los pongamos a salvo. Nos han pedido que los escoltemos hasta un sistema aliado. Entre los partidarios está un dignatario adinerado que te ofrecerá una sustanciosa recompensa.
TEXT_MON_EVENT_REFUGEE_02;El cónsul te da las gracias por el gran servicio que has realizado. Ha decidido recompensarte generosamente por tus esfuerzos.
TEXT_MON_EVENT_REFUGEE_03;No ha salido como esperábamos. Quizá no estuvieras preparado para asumir la responsabilidad. Por desgracia, los refugiados han muerto y no obtendremos recompensa alguna.
TEXT_MON_EVENT_REFUGEE_DESTINATION;Escoltar a los refugiados a: %s
TEXT_MON_EVENT_REFUGEE_LOCATION;Posición de los refugiados: %s
TEXT_MON_EVENT_REFUGEE_TITLE;Escolta de refugiados
TEXT_MON_EVENT_RESCUE_01;Los piratas del Sol Negro nos han pedido ayuda. El Imperio ha capturado a uno de sus líderes, y lo están torturando. Los piratas han acudido a nosotros porque no pueden rescatarlo discretamente.
TEXT_MON_EVENT_RESCUE_02;Los piratas han averiguado que retienen a su líder en la superficie de ese planeta. Han sido fieles a su promesa y nos entregarán un crucero de clase Venator como muestra de agradecimiento.
TEXT_MON_EVENT_RESCUE_TITLE;Rescate pirata
TEXT_MON_EVENT_SCOUT_00;Han destacado algunas flotas imperiales en zonas del espacio sin valor estratégico evidente. Creo que una investigación estaría justificada, pero enviar una flota entera llamaría demasiado la atención. Utiliza una unidad camuflada para explorar el planeta.
TEXT_MON_EVENT_SCOUT_01;Tus investigaciones han sido muy fructíferas. La información que has recabado revela la movilización de fuerzas que preparan un ataque en otra parte de la galaxia. Envía una unidad de exploración para seguir investigando.
TEXT_MON_EVENT_SCOUT_02;Tus acciones han reforzado a la Alianza. Muchos de los ciudadanos más ricos de la galaxia han respondido con donativos encubiertos. Úsalos adecuadamente.
TEXT_MON_EVENT_STRENGTH_01;En algunos casos, una demostración de fuerza es más eficaz que la diplomacia. Los ciudadanos de un planeta controlado por el Imperio están hartos de la presencia imperial. Han mostrado interés en unirse a la Alianza, pero antes quieren que hagamos una demostración de fuerza. Si podemos derrotar al Imperio o a los piratas en una batalla terrestre, se unirán a la causa.
TEXT_MON_EVENT_STRENGTH_02;Con nuestra última victoria, nos hemos granjeado el favor de ciudadanos de toda la galaxia. De hecho, ha estallado una revuelta en un planeta controlado por el Imperio. Este sistema nos ha jurado fidelidad para futuras empresas.
TEXT_MON_EVENT_STRENGTH_TITLE;Demostración de fuerza
TEXT_MON_EVENT_STRUCTURE_00;La Alianza necesita todos los créditos que pueda conseguir. Por desgracia, el dinero no nos sirve de nada si no lo utilizamos para protegernos y para poner al Imperio en jaque.
TEXT_MON_EVENT_STRUCTURE_01;Estoy en deuda contigo. Tus acciones han atraído a algunos seguidores. Varios voluntarios han pedido servir a tus órdenes.
TEXT_MON_EVENT_TECH_WINDFALL_00;Lo has hecho muy bien. Ponemos una nueva tecnología a tu disposición que debería ayudarnos en el conflicto. Tu nivel tecnológico ha subido un grado.
TEXT_MON_EVENT_TRAP_00;Los últimos movimientos de tropas imperiales han creado la oportunidad de atacar y liberar otro planeta. Te recomiendo que planees un asalto, pero ten cuidado: es posible que se trate de una trampa.
TEXT_MON_EVENT_TRAP_01;Parece que se nos ha escapado la oportunidad. Las defensas imperiales vuelven a estar en su sitio. Confío en que acertaras al negarte a picar el cebo, pero recuerda que las estrategias excesivamente defensivas permiten que el Imperio siga ampliando su dominio.
TEXT_MON_EVENT_TRAP_02;¡Es una trampa! Refuerza las defensas para sobrevivir en la batalla.
